	SES	GPA	SAT	Gender	Race	Random Acceptance	Partial Logistic Acceptance	Complete Logistic Acceptance
0	497796	3.54	1884	Male	Asian	0	1	0
1	623523	3.11	1231	Female	Latinx	0	0	1
2	590253	3.3	772	Female	Latinx	1	0	1
3	640081	2.93	1190	Male	Latinx	0	0	1
4	769626	4.66	1651	Male	Asian	0	0	1
5	754604	4.31	1422	Male	White	1	0	1
6	613181	3.55	885	Female	Asian	1	0	1
7	422053	3.69	1255	Female	Asian	0	1	0
8	534237	3.91	1465	Female	Latinx	0	1	0
9	625678	2.94	1037	Male	Asian	1	0	1
10	603644	3.62	1259	Female	Latinx	0	0	1
11	633049	3.15	1272	Male	Black	0	0	1
12	607482	3.66	1794	Male	Asian	0	0	1
13	545263	3.37	1393	Male	Latinx	1	1	0
14	810361	3.04	1365	Female	Asian	0	0	1
15	594263	3.35	1579	Male	Latinx	1	0	1
16	745652	3.7	1329	Male	White	1	0	1
17	355446	2.95	1439	Male	Asian	1	1	0
18	643755	3.2	747	Male	Latinx	1	0	1
19	953909	4.24	1832	Female	Asian	0	0	1
20	606793	3.73	1419	Male	Asian	0	0	1
21	387244	3.66	1740	Male	Asian	1	1	0
22	667327	3.67	1551	Female	Asian	1	0	1
23	559852	4.14	899	Female	Asian	0	1	0
24	680306	3.47	804	Male	Latinx	0	0	1
25	592252	3.6	772	Female	Latinx	0	0	1
26	638531	3.39	1492	Female	Latinx	1	0	1
27	631735	3.72	917	Female	Latinx	0	0	1
28	580585	3.42	1040	Male	Latinx	1	0	1
29	528712	3.75	2136	Male	Other	0	1	0
30	593398	3.25	1210	Male	Latinx	1	0	1
31	403757	3.72	1335	Male	Asian	1	1	0
32	710737	4.44	1129	Male	Latinx	1	0	1
33	566470	3.55	1486	Male	Latinx	1	1	0
34	530057	3.51	1299	Female	Black	0	1	0
35	594418	3.41	1486	Male	Asian	0	0	1
36	159463	2.8	1139	Male	Asian	1	1	0
37	676700	3.9	1483	Female	Latinx	0	0	1
38	623370	3.53	1223	Male	Latinx	1	0	1
39	704592	3.05	1286	Male	Asian	1	0	1
40	458368	3.44	1204	Female	Black	1	1	0
41	545538	4.26	1522	Female	Latinx	1	1	0
42	727111	3.36	1346	Female	Asian	0	0	1
43	528661	3.31	1158	Female	Latinx	0	1	0
44	762640	4.0	1517	Female	Asian	1	0	1
45	613305	3.37	1273	Female	Latinx	0	0	1
46	780167	3.28	1512	Male	Latinx	1	0	1
47	622981	3.55	1241	Female	Latinx	0	0	1
48	838678	4.09	1431	Female	Asian	0	0	1
49	663175	3.4	1306	Female	Black	0	0	1
50	637199	3.4	1389	Male	White	0	0	1
51	705168	2.92	936	Male	White	0	0	1
52	347220	3.44	1217	Male	Asian	1	1	0
53	551373	3.2	1228	Male	Latinx	1	1	0
54	453515	4.47	1631	Male	Asian	0	1	0
55	609650	3.59	1269	Female	Latinx	0	0	1
56	571921	2.4	797	Male	Latinx	1	0	1
57	571567	3.7	1005	Male	Black	1	0	1
58	516320	3.0	980	Female	Latinx	0	1	0
59	633046	2.31	1176	Female	Asian	1	0	1
60	610231	3.09	1425	Female	Latinx	0	0	1
61	861250	3.15	1021	Female	Asian	1	0	1
62	744946	3.23	2097	Male	Asian	0	0	1
63	572357	4.02	1279	Male	White	0	1	1
64	672150	4.02	1068	Female	Asian	0	0	1
65	653858	3.32	997	Female	Latinx	0	0	1
66	545356	3.96	1413	Female	Latinx	0	1	0
67	650481	3.88	1412	Male	Latinx	0	0	1
68	626793	4.06	1557	Male	Latinx	0	0	1
69	533282	3.24	1409	Female	White	0	1	0
70	667235	2.84	1287	Female	Latinx	0	0	1
71	595151	3.85	1289	Male	Latinx	0	0	1
72	1058464	4.52	1537	Female	Asian	0	0	1
73	386892	3.7	1265	Female	Asian	1	1	0
74	383673	3.07	883	Male	Asian	1	1	0
75	874293	3.45	1236	Female	Asian	0	0	1
76	665834	4.01	1269	Female	Asian	0	0	1
77	600842	3.41	1815	Male	Asian	1	0	1
78	673443	3.56	1328	Female	Latinx	1	0	1
79	609411	3.42	1450	Female	Latinx	1	0	1
80	531105	4.16	1432	Female	Asian	1	1	0
81	670985	3.48	1482	Male	Latinx	1	0	1
